ID,제조사,모델,차량상태,배터리용량,구동방식,주행거리(km),보증기간(년),사고이력,연식(년),가격(백만원)
TRAIN_0092,A사,eT,Brand New,91.2,AWD,9790,7,No,0,65.67
TRAIN_0093,T사,M3,Nearly New,61.153,RWD,28181,3,No,0,54.0
TRAIN_0094,V사,ID4,Brand New,90.0,AWD,3012,7,No,0,33.99
TRAIN_0095,A사,RSeTGT,Brand New,,AWD,3420,7,No,0,100.0
TRAIN_0096,K사,Soul,Pre-Owned,50.096,FWD,121482,4,No,0,22.72
TRAIN_0097,P사,TayCT,Nearly New,76.093,AWD,33452,2,No,0,130.66
TRAIN_0098,B사,i3,Nearly New,56.0,AWD,14280,5,No,1,23.87
TRAIN_0099,K사,EV6,Brand New,,FWD,2922,9,No,0,40.86
TRAIN_0100,P사,Tay,Brand New,,AWD,6510,2,No,0,104.5
TRAIN_0101,H사,IONIQ,Pre-Owned,52.78,FWD,76769,1,No,2,12.63
TRAIN_0102,P사,TayCT,Brand New,90.0,AWD,4624,2,No,0,120.25
TRAIN_0103,V사,ID4,Pre-Owned,57.861,AWD,128164,1,Yes,0,39.19
TRAIN_0104,B사,iX,Brand New,90.0,RWD,7752,7,No,0,79.53
TRAIN_0105,H사,IONIQ,Nearly New,48.27,FWD,35242,3,No,2,9.0
TRAIN_0106,P사,TayGTS,Brand New,,AWD,4803,2,No,0,160.16
TRAIN_0107,K사,Niro,Pre-Owned,50.096,AWD,124671,4,No,0,27.68
TRAIN_0108,T사,M3,Pre-Owned,58.707,RWD,50261,2,No,0,52.51
TRAIN_0109,H사,ION5,Pre-Owned,53.602,AWD,191458,1,No,0,34.11
TRAIN_0110,K사,EV6,Brand New,,FWD,26,10,No,0,48.83
TRAIN_0111,K사,Soul,Brand New,,FWD,2194,9,No,0,21.05
TRAIN_0112,B사,i5,Nearly New,66.208,RWD,37497,3,No,0,64.45
TRAIN_0113,A사,eT,Nearly New,80.688,AWD,15155,4,No,0,74.06
TRAIN_0114,H사,ION5,Nearly New,63.11,AWD,31284,5,No,0,34.48
TRAIN_0115,P사,TayGTS,Nearly New,76.156,AWD,11401,2,No,0,159.71
TRAIN_0116,B사,i5,Brand New,,AWD,4692,8,Yes,0,65.94
TRAIN_0117,P사,TayGTS,Brand New,93.4,AWD,6513,2,No,0,160.08
TRAIN_0118,A사,Q4eT,Nearly New,66.861,AWD,21017,3,No,0,58.49
TRAIN_0119,K사,Niro,Pre-Owned,50.096,FWD,78209,4,No,0,27.58
TRAIN_0120,P사,TayCT,Pre-Owned,76.093,AWD,77240,2,No,0,128.85
TRAIN_0121,H사,KNE,Pre-Owned,68.488,FWD,137776,3,No,0,27.83
TRAIN_0122,K사,Niro,Nearly New,56.623,FWD,46346,7,No,1,28.18
TRAIN_0123,P사,Tay,Brand New,,AWD,2015,2,No,0,103.02
TRAIN_0124,B사,iX,Brand New,,AWD,9023,8,No,0,80.79
TRAIN_0125,H사,KNE,Brand New,90.0,FWD,6540,10,No,0,22.3
TRAIN_0126,T사,M3,Nearly New,66.355,RWD,18510,5,No,1,53.15
TRAIN_0127,K사,Niro,Nearly New,56.0,FWD,24888,5,No,0,28.23
TRAIN_0128,A사,RSeTGT,Pre-Owned,78.227,AWD,129869,0,Yes,0,94.89
TRAIN_0129,T사,MX,Brand New,96.0,AWD,4921,7,No,0,77.29
TRAIN_0130,V사,ID4,Pre-Owned,53.325,AWD,179014,0,No,0,39.5
TRAIN_0131,A사,eT,Brand New,95.0,AWD,2084,8,No,0,60.31
TRAIN_0132,V사,ID4,Brand New,,AWD,993,8,No,0,40.68
TRAIN_0133,A사,Q4eT,Brand New,,AWD,8577,8,No,0,59.56
TRAIN_0134,V사,ID4,Pre-Owned,53.325,AWD,149105,0,No,0,39.57
TRAIN_0135,P사,TayGTS,Pre-Owned,73.11,AWD,147507,2,No,0,155.97
TRAIN_0136,K사,Soul,Pre-Owned,46.169,FWD,127497,2,No,0,21.84
TRAIN_0137,A사,Q4eT,Nearly New,72.548,AWD,11792,5,No,1,58.77
TRAIN_0138,K사,Soul,Nearly New,56.0,FWD,15148,6,No,0,22.54
TRAIN_0139,B사,i3,Pre-Owned,46.0,RWD,175388,0,No,0,22.23
TRAIN_0140,V사,ID4,Brand New,90.0,AWD,9093,7,No,0,34.94
TRAIN_0141,H사,ION6,Brand New,,AWD,411,10,No,0,38.93
TRAIN_0142,B사,i3,Brand New,,AWD,6451,7,No,0,24.99
TRAIN_0143,H사,IONIQ,Nearly New,58.77,FWD,73469,3,No,0,24.04
TRAIN_0144,T사,MX,Brand New,99.8,AWD,6225,8,No,0,71.95
TRAIN_0145,B사,i3,Nearly New,56.0,RWD,25713,3,No,0,23.29
TRAIN_0146,H사,ION6,Nearly New,71.332,AWD,31336,8,No,2,38.0
TRAIN_0147,K사,Soul,Pre-Owned,48.093,AWD,96195,3,No,0,21.94
TRAIN_0148,P사,Tay,Brand New,,AWD,8475,2,No,0,95.91
TRAIN_0149,P사,TayGTS,Pre-Owned,64.683,AWD,144028,2,No,0,151.11
TRAIN_0150,T사,MY,Brand New,,AWD,6057,7,No,0,64.08
TRAIN_0151,V사,ID4,Brand New,,AWD,2481,8,No,0,40.73
TRAIN_0152,B사,i5,Brand New,,RWD,2369,7,No,0,64.53
TRAIN_0153,H사,IONIQ,Nearly New,83.08,FWD,65046,3,No,2,18.24
TRAIN_0154,H사,IONIQ,Pre-Owned,,FWD,63940,1,No,0,26.81
TRAIN_0155,A사,eT,Pre-Owned,65.791,AWD,88489,0,Yes,0,70.22
TRAIN_0156,P사,TayGTS,Pre-Owned,73.11,AWD,139804,2,No,0,156.5
TRAIN_0157,H사,IONIQ,Nearly New,,FWD,29138,3,No,2,21.78
TRAIN_0158,K사,Niro,Nearly New,58.982,FWD,31687,8,No,2,28.11
TRAIN_0159,V사,ID4,Pre-Owned,57.861,AWD,124885,1,No,0,39.29
TRAIN_0160,H사,ION5,Nearly New,71.332,AWD,23762,8,No,2,34.6
TRAIN_0161,V사,ID4,Brand New,,AWD,6445,7,No,0,34.71
TRAIN_0162,T사,M3,Nearly New,63.701,RWD,26150,4,No,0,53.78
TRAIN_0163,A사,Q4eT,Nearly New,69.646,AWD,47335,4,No,0,59.0
TRAIN_0164,B사,i3,Nearly New,56.0,AWD,14652,6,No,2,24.0
TRAIN_0165,H사,ION6,Brand New,,AWD,1573,9,Yes,0,38.94
TRAIN_0166,K사,Niro,Pre-Owned,50.096,AWD,89510,4,No,0,28.97
TRAIN_0167,A사,RSeTGT,Brand New,,AWD,4058,8,No,0,101.01
TRAIN_0168,V사,ID4,Nearly New,68.125,AWD,24712,5,No,1,40.16
TRAIN_0169,H사,ION5,Nearly New,65.739,AWD,23219,6,No,0,35.0
TRAIN_0170,B사,i3,Pre-Owned,46.0,AWD,107418,0,Yes,0,22.62
TRAIN_0171,K사,Soul,Pre-Owned,50.096,FWD,120184,4,No,0,23.61
TRAIN_0172,K사,EV6,Brand New,,FWD,7866,9,No,0,41.55
TRAIN_0173,K사,Niro,Pre-Owned,46.0,AWD,133686,1,No,0,27.77
TRAIN_0174,V사,ID4,Pre-Owned,55.547,AWD,133531,0,No,0,39.39
TRAIN_0175,B사,iX,Brand New,,AWD,3619,7,No,0,80.12
TRAIN_0176,P사,TayCT,Brand New,,AWD,9289,2,No,0,120.52
TRAIN_0177,T사,MS,Brand New,99.8,AWD,5085,8,No,0,64.71
TRAIN_0178,K사,Soul,Brand New,,FWD,2820,9,No,0,21.15
TRAIN_0179,H사,ION6,Pre-Owned,58.162,AWD,92858,3,No,0,38.0
TRAIN_0180,H사,IONIQ,Pre-Owned,75.64,FWD,22186,1,No,0,12.2
TRAIN_0181,H사,KNE,Pre-Owned,68.488,FWD,63714,3,No,0,27.68
TRAIN_0182,B사,i5,Pre-Owned,56.234,RWD,183069,0,No,0,60.11
TRAIN_0183,B사,i5,Pre-Owned,61.018,AWD,160990,1,Yes,0,62.46
TRAIN_0184,H사,ION5,Pre-Owned,55.836,AWD,126143,2,No,0,33.74
TRAIN_0185,A사,RSeTGT,Brand New,,AWD,7795,7,No,0,100.15
TRAIN_0186,A사,Q4eT,Brand New,,AWD,6320,7,No,0,59.64
TRAIN_0187,B사,i5,Pre-Owned,61.018,AWD,192943,1,No,0,62.66
TRAIN_0188,T사,MX,Nearly New,,AWD,31445,5,No,1,94.36
TRAIN_0189,T사,M3,Brand New,,RWD,4839,8,No,0,54.43
TRAIN_0190,H사,IONIQ,Pre-Owned,52.06,FWD,67838,1,No,2,23.4
TRAIN_0191,P사,Tay,Brand New,,AWD,5974,2,No,0,96.87
TRAIN_0192,P사,TayCT,Brand New,,AWD,7798,2,No,0,130.36
TRAIN_0193,A사,RSeTGT,Pre-Owned,78.227,AWD,130607,0,No,0,94.51
TRAIN_0194,A사,eT,Brand New,91.2,AWD,450,7,No,0,65.88
TRAIN_0195,K사,Niro,Brand New,,FWD,7300,9,Yes,0,24.98
TRAIN_0196,A사,RSeTGT,Brand New,,AWD,3712,8,No,0,100.16
TRAIN_0197,A사,RSeTGT,Nearly New,,AWD,45741,5,No,1,99.19
TRAIN_0198,T사,M3,Nearly New,69.12,RWD,42073,6,No,2,51.21
TRAIN_0199,P사,TayCT,Brand New,,AWD,337,2,No,0,120.48
TRAIN_0200,A사,RSeTGT,Nearly New,,AWD,46410,5,No,1,99.01
TRAIN_0201,B사,iX,Brand New,90.0,RWD,6475,8,No,0,80.56
TRAIN_0202,B사,i3,Nearly New,56.0,RWD,48800,6,No,2,23.96
TRAIN_0203,K사,Niro,Brand New,,FWD,2616,10,No,0,20.98
TRAIN_0204,B사,iX,Brand New,,RWD,2149,7,No,0,80.88
TRAIN_0205,K사,Niro,Nearly New,58.982,AWD,14738,8,No,2,28.3
TRAIN_0206,B사,i5,Pre-Owned,58.577,RWD,169627,0,No,0,61.12
TRAIN_0207,V사,ID4,Pre-Owned,60.272,AWD,141033,2,No,0,39.85
TRAIN_0208,H사,KNE,Brand New,90.0,FWD,1687,9,No,0,25.24
TRAIN_0209,H사,ION6,Pre-Owned,53.602,AWD,88699,1,Yes,0,36.55
TRAIN_0210,H사,ION6,Brand New,90.0,AWD,5459,10,No,0,39.0
TRAIN_0211,P사,Tay,Nearly New,67.268,AWD,14902,2,No,0,120.38
TRAIN_0212,K사,EV6,Brand New,,FWD,3929,9,No,0,39.85
TRAIN_0213,T사,MS,Pre-Owned,,AWD,189904,2,No,0,80.42
TRAIN_0214,A사,RSeTGT,Nearly New,78.227,AWD,15945,4,No,0,99.01
TRAIN_0215,K사,Soul,Pre-Owned,46.0,AWD,183295,1,Yes,0,22.04
TRAIN_0216,H사,ION5,Nearly New,68.479,AWD,14013,7,No,1,34.54
TRAIN_0217,A사,Q4eT,Pre-Owned,59.154,AWD,191296,0,No,0,55.86
TRAIN_0218,A사,eT,Nearly New,77.46,AWD,10004,3,No,0,73.4
TRAIN_0219,P사,TayGTS,Pre-Owned,67.378,AWD,122758,2,No,0,151.04
TRAIN_0220,K사,EV6,Brand New,,FWD,454,10,No,0,48.74
TRAIN_0221,K사,EV6,Brand New,90.0,AWD,3151,9,No,0,40.14
TRAIN_0222,P사,Tay,Brand New,,AWD,3660,2,No,0,104.57
TRAIN_0223,B사,i3,Nearly New,56.0,RWD,24745,4,No,0,23.16
TRAIN_0224,V사,ID4,Pre-Owned,60.272,AWD,127772,2,No,0,40.33
TRAIN_0225,A사,Q4eT,Pre-Owned,59.154,AWD,119056,0,No,0,56.0
TRAIN_0226,H사,ION6,Brand New,,AWD,9618,9,No,0,38.93
TRAIN_0227,T사,MY,Pre-Owned,58.707,AWD,64532,2,No,0,76.13
TRAIN_0228,A사,eT,Pre-Owned,74.362,AWD,193451,2,No,0,71.91
TRAIN_0229,V사,ID4,Brand New,,AWD,9943,8,No,0,40.48
TRAIN_0230,P사,TayGTS,Brand New,,AWD,2004,2,No,0,160.09
TRAIN_0231,B사,i3,Nearly New,56.0,RWD,37868,4,No,0,23.95
TRAIN_0232,B사,i3,Brand New,,AWD,8648,7,Yes,0,24.38
TRAIN_0233,A사,RSeTGT,Brand New,,AWD,1353,7,No,0,100.2
TRAIN_0234,H사,ION5,Brand New,90.0,AWD,1625,9,No,0,35.86
TRAIN_0235,B사,i3,Nearly New,56.0,AWD,25325,5,No,1,24.0
TRAIN_0236,H사,ION6,Pre-Owned,60.585,AWD,197440,4,No,0,37.96
TRAIN_0237,K사,Niro,Nearly New,58.982,FWD,41909,8,No,2,28.6
TRAIN_0238,H사,ION6,Pre-Owned,53.602,AWD,127577,1,No,0,36.91
TRAIN_0239,K사,EV6,Brand New,,FWD,2430,10,No,0,47.74
TRAIN_0240,H사,KNE,Pre-Owned,68.488,FWD,75915,3,No,0,28.95
TRAIN_0241,H사,ION6,Nearly New,65.739,AWD,12053,6,No,0,37.99
TRAIN_0242,B사,i5,Pre-Owned,63.56,RWD,99735,2,No,0,62.35
TRAIN_0243,P사,TayCT,Brand New,,AWD,7260,2,No,0,120.0
TRAIN_0244,P사,Tay,Brand New,,AWD,1138,2,No,0,95.66
TRAIN_0245,V사,ID4,Brand New,,AWD,3288,7,No,0,33.18
TRAIN_0246,A사,Q4eT,Nearly New,75.571,AWD,24251,6,No,2,52.08
TRAIN_0247,P사,TayGTS,Pre-Owned,73.11,AWD,80468,2,No,0,156.19
TRAIN_0248,K사,Soul,Nearly New,56.0,FWD,26048,5,No,0,23.48
TRAIN_0249,K사,EV6,Brand New,,AWD,3660,10,No,0,47.42
TRAIN_0250,K사,Niro,Nearly New,56.0,AWD,43611,5,No,0,27.34
TRAIN_0251,K사,EV6,Brand New,,FWD,2634,9,No,0,40.15
TRAIN_0252,V사,ID4,Brand New,,AWD,8004,7,No,0,34.21
TRAIN_0253,T사,MY,Brand New,,AWD,9413,8,No,0,75.48
TRAIN_0254,H사,IONIQ,Pre-Owned,,FWD,22289,1,No,0,9.77
TRAIN_0255,K사,EV6,Brand New,,FWD,6708,10,No,0,47.91
TRAIN_0256,A사,eT,Nearly New,,AWD,33992,4,No,0,73.27
TRAIN_0257,H사,ION6,Nearly New,65.739,AWD,29261,6,No,0,37.67
TRAIN_0258,K사,Niro,Nearly New,56.0,FWD,26126,5,No,0,28.75
TRAIN_0259,P사,TayCT,Brand New,,AWD,8691,2,No,0,130.6
TRAIN_0260,K사,Niro,Nearly New,56.0,FWD,46331,5,No,0,28.32
TRAIN_0261,H사,ION6,Pre-Owned,58.162,AWD,143239,3,No,0,38.0
TRAIN_0262,A사,Q4eT,Nearly New,75.571,AWD,19074,6,No,2,52.4
TRAIN_0263,B사,i3,Pre-Owned,46.0,RWD,124709,2,No,0,23.46
TRAIN_0264,P사,Tay,Brand New,,AWD,2353,2,No,0,104.54
TRAIN_0265,B사,i3,Pre-Owned,46.0,RWD,120152,2,No,0,23.45
TRAIN_0266,V사,ID4,Pre-Owned,55.547,AWD,152916,0,No,0,38.63
TRAIN_0267,K사,Niro,Pre-Owned,48.093,FWD,149913,3,No,0,28.35
TRAIN_0268,H사,IONIQ,Pre-Owned,79.6,FWD,35181,1,No,0,18.46
TRAIN_0269,P사,TayGTS,Pre-Owned,70.185,AWD,140500,2,No,0,155.98
TRAIN_0270,K사,Soul,Nearly New,56.623,AWD,35505,7,No,1,22.64
TRAIN_0271,H사,IONIQ,Nearly New,58.35,FWD,70295,3,No,2,17.77
TRAIN_0272,H사,KNE,Brand New,,FWD,6642,9,No,0,24.48
TRAIN_0273,P사,TayGTS,Brand New,,AWD,6579,2,No,0,160.06
TRAIN_0274,K사,Soul,Nearly New,56.623,FWD,21727,7,No,1,22.88
TRAIN_0275,T사,MX,Pre-Owned,69.253,AWD,105614,0,No,0,88.95
TRAIN_0276,H사,ION6,Pre-Owned,58.162,AWD,184803,3,No,0,37.93
TRAIN_0277,H사,IONIQ,Pre-Owned,69.38,FWD,79763,1,No,2,15.43
TRAIN_0278,A사,RSeTGT,Brand New,,AWD,5391,7,Yes,0,100.0
TRAIN_0279,A사,Q4eT,Pre-Owned,61.619,AWD,75036,1,No,0,57.79
TRAIN_0280,P사,TayGTS,Brand New,,AWD,4243,2,No,0,160.19
TRAIN_0281,V사,ID4,Brand New,,AWD,7470,7,No,0,33.39
TRAIN_0282,K사,EV6,Brand New,,FWD,5501,9,No,0,41.42
TRAIN_0283,H사,ION5,Nearly New,68.479,AWD,29582,7,No,1,34.88
TRAIN_0284,T사,M3,Brand New,,RWD,1889,7,No,0,47.18
TRAIN_0285,B사,i3,Pre-Owned,46.0,AWD,151674,1,No,0,23.45
TRAIN_0286,V사,ID4,Brand New,,AWD,7558,7,No,0,33.72
TRAIN_0287,A사,eT,Brand New,91.2,AWD,7292,7,No,0,64.55
TRAIN_0288,H사,KNE,Brand New,,FWD,5563,9,No,0,24.55
TRAIN_0289,P사,TayCT,Brand New,90.0,AWD,7877,2,No,0,120.0
TRAIN_0290,H사,ION5,Nearly New,68.479,AWD,49380,7,No,1,34.94
TRAIN_0291,A사,RSeTGT,Pre-Owned,,AWD,175481,0,Yes,0,94.94
TRAIN_0292,P사,TayGTS,Pre-Owned,64.683,AWD,118368,2,No,0,151.0
TRAIN_0293,A사,RSeTGT,Pre-Owned,,AWD,188472,0,No,0,94.02
TRAIN_0294,P사,TayGTS,Pre-Owned,64.683,AWD,50932,2,No,0,151.07
TRAIN_0295,B사,iX,Brand New,90.0,RWD,4026,7,No,0,79.89
TRAIN_0296,A사,eT,Pre-Owned,74.362,AWD,52824,2,No,0,72.32
TRAIN_0297,H사,KNE,Nearly New,68.488,FWD,15984,6,No,0,27.89
TRAIN_0298,A사,RSeTGT,Brand New,,AWD,627,8,No,0,100.14
TRAIN_0299,A사,Q4eT,Brand New,,AWD,4510,7,No,0,59.86
TRAIN_0300,P사,TayCT,Pre-Owned,76.093,AWD,121106,2,No,0,127.93
TRAIN_0301,V사,ID4,Brand New,,AWD,7001,8,No,0,39.39
TRAIN_0302,H사,ION5,Pre-Owned,60.585,AWD,54765,4,No,0,35.0
TRAIN_0303,A사,Q4eT,Nearly New,72.548,AWD,16269,5,No,1,58.19
TRAIN_0304,K사,Niro,Nearly New,56.0,AWD,25790,6,No,0,29.03
TRAIN_0305,A사,RSeTGT,Brand New,,AWD,268,8,No,0,100.78
TRAIN_0306,B사,iX,Brand New,,AWD,4422,7,No,0,80.08
TRAIN_0307,B사,i5,Pre-Owned,63.56,RWD,53548,2,No,0,61.87
TRAIN_0308,P사,TayCT,Brand New,,AWD,8863,2,No,0,129.74
TRAIN_0309,B사,i3,Brand New,,RWD,999,7,No,0,24.98
TRAIN_0310,B사,iX,Brand New,,RWD,2806,8,No,0,80.38
TRAIN_0311,B사,iX,Brand New,,RWD,6535,7,No,0,79.19
TRAIN_0312,V사,ID4,Nearly New,68.125,AWD,20002,5,No,1,41.51
TRAIN_0313,A사,eT,Brand New,95.0,AWD,603,8,No,0,60.42
TRAIN_0314,P사,TayGTS,Brand New,93.4,AWD,1000,2,No,0,160.84
TRAIN_0315,P사,TayGTS,Pre-Owned,73.11,AWD,117701,2,No,0,155.8
TRAIN_0316,K사,Niro,Pre-Owned,46.0,AWD,178187,1,No,0,26.72
TRAIN_0317,B사,iX,Brand New,,AWD,7807,8,No,0,80.79
TRAIN_0318,A사,RSeTGT,Pre-Owned,,AWD,192734,1,No,0,97.06
TRAIN_0319,T사,MX,Brand New,96.0,AWD,8184,7,No,0,78.95
TRAIN_0320,P사,Tay,Pre-Owned,54.849,AWD,122983,2,No,0,115.41
TRAIN_0321,P사,Tay,Pre-Owned,59.515,AWD,196262,2,Yes,0,119.29
TRAIN_0322,K사,Soul,Pre-Owned,46.169,FWD,130235,2,No,0,22.63
TRAIN_0323,H사,ION6,Pre-Owned,55.836,AWD,66781,2,No,0,37.17
TRAIN_0324,T사,MS,Brand New,96.0,AWD,4453,7,No,0,69.94
TRAIN_0325,T사,MY,Brand New,90.0,AWD,8107,8,No,0,75.93
TRAIN_0326,H사,ION5,Brand New,,AWD,673,10,No,0,36.0
