시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료,수강료공개여부,기숙사학원여부,도로명주소,도로명상세주소,도로명우편번호,전화번호,수정일자
B10,서울특별시교육청,마포구,학원,3000050263,굿코딩컴퓨터학원,20240422,20240422,개원,        ,        ,147,49,정보,,,, ,Y,N,서울특별시 마포구 월드컵북로 220,", 4층 403호(성산동)",3941,,20241006
B10,서울특별시교육청,마포구,교습소,3000043569,스마일디자인코딩교습소,20230315,20230315,개원,        ,99991231,18,6,정보,정보,,정보교과, ,Y,N,서울특별시 마포구 숭문길 106,", 상가동 206호 (염리동, 상록아파트)",4127,02-000-0000,20231018
B10,서울특별시교육청,마포구,학원,3000046179,스팀플러스로보틱스코딩학원,20230804,20230804,개원,        ,        ,232,58,정보,,,, ,Y, ,서울특별시 마포구 백범로10길 26,", 4층(신수동)",4110,,20231018
B10,서울특별시교육청,서초구,학원,3000041710,잼코딩서초학원,20220623,20220623,개원,        ,99991231,80,47,정보,정보,"정보교과,",정보교과, ,Y,N,서울특별시 서초구 서초중앙로 40-6,", 3층,4층 (서초동, 우림빌딩)",6643,02-6953-0563,20231018
B10,서울특별시교육청,성동구,학원,3000043319,AIT코딩학원,20230221,20230221,개원,        ,99991231,154,53,정보,정보,,정보교과, ,Y,N,서울특별시 성동구 성수일로 20,", 동일빌딩 3층 (성수동1가)",4780,02-0000-0000,20231018
B10,서울특별시교육청,성동구,교습소,3000050986,무궁화정보교습소,20240821,20240821,개원,        ,        ,0,4,정보,,,, ,Y, ,서울특별시 성동구 왕십리로 287,5층 일부 (행당동),4744,02-0000-0000,20240908
B10,서울특별시교육청,양천구,교습소,3000051257,매쓰코딩정보교습소,20241017,20241017,개원,        ,        ,0,0,정보,정보,초등정보,정보,"초등정보:190000, 중등정보:206000, 고등정보:228000",Y, ,서울특별시 양천구 목동동로 177,", 207호(신정동,삼성쉐르빌2)",8011,,20241215
B10,서울특별시교육청,양천구,교습소,3000042148,와이코딩정보교습소,20220825,20220825,개원,        ,99991231,10,2,정보,정보,코딩3(고등),정보,"코딩3(고등):350000,  집중코딩1(초중고):400000, 코딩1(초중고):250000,  코딩2(중고) :300000, 집중코딩2(중고):450000, 집중코딩3(고등):500000",Y,N,서울특별시 양천구 목동서로 57,", 302호 (목동, 현대파리지앙)",7983,,20231206
B10,서울특별시교육청,용산구,학원,3000038322,로그엔코딩원격학원,20210122,20210122,개원,        ,99991231,1015,0,정보,정보,정보교과,정보교과, ,Y,N,서울특별시 용산구 한강대로 109,", 지하2층 206호 (한강로2가, 용성비즈텔)",4376,02-792-9332,20231217
B10,서울특별시교육청,은평구,교습소,3000039147,이지코딩컴퓨터교습소,20210604,20210604,개원,        ,99991231,9,3,정보,정보,,정보교과, ,Y,N,서울특별시 은평구 응암로22길 37,", 3층 (응암동)",3466,070-4337-3758,20231018
B10,서울특별시교육청,은평구,학원,2778,코딩그라운드학원,20030723,20030723,개원,        ,99991231,70,47,정보,정보,"정보교과,",정보교과, ,Y,N,서울특별시 은평구 통일로83길 21,", 2층 (갈현동,연희보습학원)",122811,02-353-5938,20231018
B10,서울특별시교육청,은평구,학원,3000031275,코딩하는아이들학원,20180226,20180226,개원,        ,99991231,120,56,정보,정보,"정보교과,",정보교과, ,Y,N,서울특별시 은평구 은평로 200,", 2층 (응암동)",3471,02-383-5505,20231018
B10,서울특별시교육청,종로구,학원,3000036809,온코스원격학원,20200408,20200408,개원,        ,99991231,0,0,정보,정보,"정보교과,",정보교과, ,Y,N,서울특별시 종로구 돈화문로 26,", 5층 (묘동, 단성사)",3138,02-766-8747,20240908
B10,서울특별시교육청,종로구,학원,3000050209,코리코딩원격학원,20240412,20240412,개원,        ,        ,50,999,정보,,,, ,Y,N,서울특별시 종로구 진흥로 490,", 1층 102A호 (신영동)",3014,02-6402-0201,20241215
B10,서울특별시교육청,중랑구,학원,3000037787,똑똑코딩학원,20201102,20201102,개원,        ,99991231,160,20,정보,정보,,정보교과, ,Y,N,서울특별시 중랑구 면목로57길 35,", 3층 (면목동, 보령빌딩)",2220,02-494-6235,20231018
C10,부산광역시교육청,강서구,학원,3000034575,코드스튜디오로봇코딩학원,20240404,20240404,개원,        ,        ,0,0,정보,,,, ,Y, ,부산광역시 강서구 명지국제9로 38,(명지동) 403호,46773,,20240407
C10,부산광역시교육청,서구,교습소,3000022037,나로코딩컴퓨터교습소,20230621,20230621,개원,        ,        ,0,0,정보,,초급컴퓨터,,"초급컴퓨터:160000, 중급컴퓨터1:12000, 중급컴퓨터2:240000, 고급컴퓨터1:140000, 고급컴퓨터2:280000",Y,N,부산광역시 서구 부용로32번길 27-12,2층,49233,,20231018
D10,대구광역시교육청,달성군,학원,3000037430,정석코딩학원,20241113,20241113,개원,        ,        ,0,40,정보,,,, ,Y, ,대구광역시 달성군 유가읍 테크노상업로 96,501호,43018,,20241117
E10,인천광역시교육청,계양구,교습소,3000023105,교습소등록(테스트용),20240327,20240327,개원,        ,        ,0,0,정보,,,, ,Y, ,인천광역시 계양구 용종로 8,테스트용 (계산동),21071,,20240811
E10,인천광역시교육청,계양구,학원,3000022788,화전코딩학원,20170216,20170216,개원,        ,99991231,78,39,정보,정보,"정보교과,",정보교과, ,Y,N,인천광역시 계양구 봉오대로744번길 12,", 203호 (작전동)",21117,null,20240310
E10,인천광역시교육청,부평구,학원,3000016426,코딩사이언스백운학원,20210324,20210324,개원,        ,99991231,532,38,정보,정보,"정보교과,",정보교과, ,Y,N,인천광역시 부평구 마장로 88,", 4층 (산곡동)",21405,032-522-0101,20240623
E10,인천광역시교육청,서구,학원,3000016601,뉴메이킹코딩학원,20210713,20210713,개원,        ,99991231,180,60,정보,정보,,정보교과, ,Y,N,인천광역시 서구 염곡로 468,", 605호, 606호 (가정동, 드림타워)",22883,,20231018
E10,인천광역시교육청,서구,교습소,3000022492,더나은컴퓨터교습소,20240124,20240124,개원,        ,        ,0,9,정보,,,, ,Y, ,인천광역시 서구 장고개로337번길 18-3,"205호(가좌동, 영프라자)",22815,,20240128
F10,광주광역시교육청,광산구,학원,3000015708,AI(에이아이)랩코딩학원,20230703,20230703,개원,        ,        ,60,0,정보,정보,정보교과,정보교과, ,Y,N,광주광역시 광산구 임방울대로 338,", 802호 (수완동)",62306,,20241222
F10,광주광역시교육청,북구,학원,3000015728,AI(에이아이)랩코딩학원,20230725,20230725,개원,        ,        ,90,30,정보,기타(중),,컴퓨터(소), ,Y,N,광주광역시 북구 설죽로 517,304호(일곡동),61040,062-5727-7799,20241222
H10,울산광역시교육청,남구,학원,1000001068,경남컴퓨터학원,19871121,19871121,개원,        ,99991231,460,109,정보,정보,,정보교과, ,Y,N,울산광역시 남구 수암로 15-9,", 4층 (신정동)",44730,052-265-3832,20231018
H10,울산광역시교육청,남구,학원,3000014324,코딩앤플레이학원,20230331,20230331,개원,        ,99991231,84,12,정보,,"정보교과,",, ,Y,N,울산광역시 남구 중앙로 23,", 2층 (야음동)",44746,,20231018
H10,울산광역시교육청,남구,학원,3000016574,플레이스팀로봇코딩학원,20240312,20240312,개원,        ,        ,120,23,정보,정보,정보교과,정보교과, ,Y, ,울산광역시 남구 야음로 37,(야음동)6층일부,44750,,20241201
H10,울산광역시교육청,북구,학원,3000013676,중산컴퓨터학원,20210408,20210412,개원,        ,99991231,252,42,정보,정보,,정보교과, ,Y,N,울산광역시 북구 신기4길 41,", 3층 (중산동, 지니어스)",44215,052-282-1255,20231018
I10,세종특별자치시교육청,세종특별자치시,학원,3000012553,모든컴퓨터학원,20221229,20221229,개원,        ,99991231,135,27,정보,정보,,정보교과, ,Y,N,세종특별자치시  한누리대로 2012,", 408호~409호 (소담동, 코끼리타워)",30151,,20231018
I10,세종특별자치시교육청,세종특별자치시,학원,3000012146,세종컴퓨터정보학원,20210628,20210628,개원,        ,99991231,140,35,정보,정보,"정보교과,",정보교과, ,Y,N,세종특별자치시 보듬3로 100,해피라움1 706호 (아름동),30100,,20240609
I10,세종특별자치시교육청,세종특별자치시,학원,3000011510,스카이스팀에이아이코딩학원,20180405,20180405,개원,        ,99991231,126,18,정보,정보,정보,정보, ,Y,N,세종특별자치시  고운서길 7,", 골드프라자 405호 (고운동, 골드프라자)",30063,,20240609
I10,세종특별자치시교육청,세종특별자치시,학원,3000012651,위트랩정보학원,20230419,20230419,개원,        ,99991231,270,30,정보,정보,,정보교과, ,Y,N,세종특별자치시  새롬중앙로 33,", 510호 (새롬동, 새뜸프라자)",30126,010-9008-9052,20231018
I10,세종특별자치시교육청,세종특별자치시,학원,3000012517,코딩랩로봇학원,20221130,20221130,개원,        ,99991231,96,24,정보,정보,,정보교과, ,Y,N,세종특별자치시  보듬3로 143,", 303호 (아름동, 대영프라자)",30100,,20231018
J10,경기도교육청,고양시,교습소,3000042424,꾸다코딩교습소,20191121,20191121,개원,        ,99991231,54,9,정보,정보,기초A,정보교과,"기초A:68000, 기초B:130000, 프로그래밍A:120000, 프로그래밍B:150000, 프로그래밍C:180000, 프로그래밍D:200000",Y,N,경기도 고양시 덕양구 화신로 319,", 5층 일부 (화정동, 문정교육센타)",10501,,20231018
J10,경기도교육청,고양시,학원,3000043183,두잉창의코딩학원,20200116,20200115,개원,        ,99991231,56,42,정보,정보,"정보교과,",정보교과, ,Y,N,경기도 고양시 덕양구 화중로 32-21,", 4층일부(402호) (화정동, 테마파크)",10503,,20231018
J10,경기도교육청,고양시,교습소,3000068598,링크(Link)코딩교습소,20240415,20240415,개원,        ,        ,0,4,정보,,,, ,Y, ,경기도 고양시 일산서구 가좌3로 47,"203호 (가좌동, 선진상가)",10209,,20240630
J10,경기도교육청,고양시,학원,3000063648,미래아이코딩학원,20231206,20231206,개원,        ,        ,43,43,정보,,,, ,Y, ,경기도 고양시 일산서구 대산로 128,302호(주엽동),10375,010-3867-8242,20231217
J10,경기도교육청,고양시,학원,26480,에디코딩학원,20070406,20070406,개원,        ,99991231,120,67,정보,보통교과,,보습, ,Y,N,경기도 고양시 일산서구 일산로 547,", 401호,402호 (일산동, 일신1조합상가)",10375,031-923-8864,20241201
J10,경기도교육청,고양시,학원,3000072302,에이스코딩학원,20241030,20241030,개원,        ,        ,0,0,정보,정보,정보교과,정보교과, ,Y, ,경기도 고양시 덕양구 향기로 148,101호(향동동),10546,010-2469-5531,20241201
J10,경기도교육청,고양시,교습소,3000038847,오늘부터코딩정보교습소,20181206,20181206,개원,        ,99991231,32,8,정보,정보,IT융합,정보교과,"IT융합:55000, IT융합:110000, IT융합:160000, IT융합:200000",Y,N,경기도 고양시 일산동구 위시티4로 46,", 206호일부 (식사동, 위시티일산자이2단지아파트)",10322,null,20240310
J10,경기도교육청,고양시,교습소,3000054805,코딩하루코딩교습소,20230329,20230329,개원,        ,99991231,42,7,정보,정보,코딩기초,정보교과,"코딩기초:150000, 코딩초급:170000, 코딩고급:200000, 코딩심화:280000, 일일특강:40000",Y,N,경기도 고양시 일산서구 후곡로 12,", 202호(일산동, 후곡마을 상가동)",10375,,20241201
J10,경기도교육청,과천시,학원,3000067867,과천디랩코딩학원,20240214,20240214,개원,        ,        ,0,64,정보,정보,정보,정보, ,Y,N,경기도 과천시 별양로 28,"(원문동) 4003-4, 4003-5, 4003-6",13835,02-6925-3757,20240331
J10,경기도교육청,과천시,교습소,3000064105,온리컴컴퓨터교습소,20240109,20240109,개원,        ,        ,0,8,정보,정보,초급 A,정보,"초급 A:120000, 초급 B:170000, 중급 A:170000, 중급 B:240000, 고급:170000, 자격증:170000, 그래픽:240000, 특강:320000",Y,N,경기도 과천시 별양로 28,(원문동) 4076호,13835,010-3421-2248,20240324
J10,경기도교육청,광명시,학원,3000048952,이룸IT컴퓨터학원,20211130,20211130,개원,        ,99991231,192,71,정보,정보,"정보교과,",정보교과, ,Y,N,경기도 광명시 범안로 1035,", 301호 (하안동, 송화빌딩)",14248,010-9756-4750,20231018
J10,경기도교육청,광주시,학원,3000050524,윤성진실전코딩학원,20220324,20220324,개원,        ,99991231,0,40,정보,정보,"정보,정보교과",정보, ,Y,N,경기도 광주시 태전중앙1길 5,", 태전퍼스트센트힐 1동 604호, 605호",12788,,20240505
J10,경기도교육청,광주시,학원,3000052776,홍익디자인코딩학원,20221025,20221025,개원,        ,99991231,162,44,정보,정보,,정보교과, ,Y,N,경기도 광주시 양벌로 169,", 1층 일부 (양벌동, 위드빌딩)",12793,031-797-7977,20240324
J10,경기도교육청,김포시,교습소,3000046541,에듀컴퓨터교습소,20210325,20210325,개원,        ,99991231,14,54,정보,정보,,정보교과, ,Y,N,경기도 김포시 김포한강2로 262,", 2층 (장기동, 훼밀리 플라자)",10082,,20231018
J10,경기도교육청,김포시,학원,3000032964,에이치랩에듀케이션학원,20170515,20170515,개원,        ,99991231,114,0,정보,정보,,정보교과, ,Y,N,경기도 김포시 김포한강2로 80,", 302호 (장기동)",10088,,20231018
J10,경기도교육청,남양주시,교습소,3000072204,다산아이티(IT)컴퓨터교습소,20241023,20241023,개원,        ,        ,0,0,정보,,,, ,Y, ,경기도 남양주시 다산중앙로 117,805호(다산동),12248,,20241103
J10,경기도교육청,남양주시,교습소,3000051475,아이리더스쿨코딩교습소,20220622,20220622,개원,        ,99991231,4,4,정보,정보,초등코딩,정보교과,초등코딩:75000,Y,N,경기도 남양주시 별내3로 26,", 205호 (별내동, 우미린아파트)",12110,,20231018
J10,경기도교육청,남양주시,교습소,3000062771,온디자인컴퓨터교습소,20231127,20231127,개원,        ,        ,0,9,정보,정보,"기초,컴퓨터활용/OA자격증",정보,"기초,컴퓨터활용/OA자격증:200000, 그래픽자격증/영상편집:220000, 기초,컴퓨터활용/OA자격증(2):150000, 그래픽자격증/영상편집(2):170000, 기초,컴퓨터활용/OA자격증(3):100000, 그래픽자격증/영상편집(3):120000, 디지털드로잉:24000",Y, ,경기도 남양주시 별내3로 326,(별내동) 504호,12097,,20231217
J10,경기도교육청,남양주시,교습소,3000051479,이펀컴퓨터교습소,20220623,20220623,개원,        ,99991231,54,6,정보,정보,컴퓨터실습,정보교과,"컴퓨터실습:100000, 단과과정:120000, 통합과정:200000, 자격증기초반:150000, 자격증집중반:250000",Y,N,경기도 남양주시 백봉로 32,", B-1, 304호 일부 (호평동, 두산 알프하임)",12155,,20231022
J10,경기도교육청,남양주시,교습소,3000018500,탑코더코딩교습소,20130514,20130514,개원,        ,99991231,14,0,정보,정보,,정보교과, ,Y,N,경기도 남양주시 화도읍 비룡로 107,", 4층 일부 (화도읍)",12166,,20231018
J10,경기도교육청,부천시,학원,3000054335,부천컴퓨터학원,20230222,20230222,개원,        ,99991231,300,42,정보,정보,,정보교과, ,Y,N,경기도 부천시 신흥로 223,", 518호 (중동, 신중동역 랜드마크 푸르지오 시티)",14539,,20231018
J10,경기도교육청,부천시,교습소,3000054766,아이메이크코딩교습소,20230328,20230327,개원,        ,99991231,81,9,정보,정보,,정보교과, ,Y,N,경기도 부천시 옥길로 124,", 412호 (옥길동, 문영 퀸즈파크 C)",14786,,20231018
J10,경기도교육청,수원시,교습소,3000053817,MVP코딩교습소,20230113,20230113,개원,        ,99991231,12,7,정보,정보,,정보교과, ,Y,N,경기도 수원시 권선구 일월천로16번길 39,", 205-2호 (구운동, 코오롱하늘채아파트 상가동)",16413,,20231018
J10,경기도교육청,수원시,교습소,70281,삼성컴퓨터,19980811,19980811,개원,19980811,99991231,42,7,정보,정보,"정보기술자격, 워드, 파워포인트, 엑셀 등(초등부)",정보교과,"정보기술자격, 워드, 파워포인트, 엑셀 등(초등부):140000, 정보기술자격, 워드, 파워포인트, 엑셀 등(중고등부):150000, 국가기술자격기능사, 워드, 컴활능력 및 코등(초중고):160000, 사무자동화-OA(대학부 및 성인):170000, 국가기술자격(대학부 및 성인):180000, 컴활능력1급, MOS, 산업기사, 기사:220000",Y,N,경기도 수원시 권선구 권중로 158, 벽산아파트 상가 411동 202호 (권선동),441741,031-232-9398,20241215
J10,경기도교육청,수원시,교습소,3000046840,이창현코딩교습소,20210429,20210429,개원,        ,99991231,18,6,정보,정보,,정보교과, ,Y,N,경기도 수원시 영통구 산남로 99,", 1층 일부 (매탄동)",16525,,20231018
J10,경기도교육청,수원시,학원,3000053584,인텔AI마이티인공지능전문학원,20221227,20221227,개원,        ,99991231,150,50,정보,정보,정보교과,정보교과, ,Y,N,경기도 수원시 영통구 에듀타운로 84,", 304호 (이의동, 세븐스퀘어)",16509,null,20240407
J10,경기도교육청,수원시,교습소,3000053008,코딩하루수원매교센터코딩교습소,20221109,20221109,개원,        ,99991231,60,9,정보,정보,,정보교과, ,Y,N,경기도 수원시 권선구 효원로 90,", 201호 (세류동)",16459,,20231018
J10,경기도교육청,수원시,교습소,3000044162,코딩하루코딩교습소,20200508,20200508,개원,        ,99991231,5,5,정보,정보,,정보교과, ,Y,N,경기도 수원시 권선구 동수원로177번길 40,", 220호 (권선동, 수원아이파크시티8단지 상가동)",16663,,20231018
J10,경기도교육청,수원시,학원,3000043305,헬로코딩학원,20200131,20200131,개원,        ,99991231,170,60,정보,정보,"정보교과,",정보교과, ,Y,N,경기도 수원시 장안구 하률로12번길 86,", 3층 301호 (천천동, 골든프라자)",16324,,20231018
J10,경기도교육청,시흥시,학원,3000051822,MJ창의영재코딩학원,20220725,20220725,개원,        ,99991231,40,51,정보,정보,"정보교과,",정보교과, ,Y,N,경기도 시흥시 은계번영길 5,", 305호, 306호 (은행동, 은계푸리마타워)",14922,031-312-8661,20231018
J10,경기도교육청,시흥시,학원,3000049562,은계에듀컴퓨터교육학원,20220110,20220110,개원,        ,99991231,180,42,정보,정보,,정보교과, ,Y,N,경기도 시흥시 은계남로 12,", 상가동 219호 (은행동, 시흥은계 호반 써밋플레이스)",14922,031-434-1456,20231018
J10,경기도교육청,시흥시,학원,3000054088,장현컴퓨터앤코딩학원,20230207,20230207,개원,        ,99991231,82,45,정보,정보,,정보교과, ,Y,N,경기도 시흥시 장현능곡로 15,", 305호 (장곡동, 승호프라자)",14996,031-313-9141,20231018
J10,경기도교육청,시흥시,교습소,3000054634,코딩하루배곧컴퓨터교습소,20230315,20230315,개원,        ,99991231,38,9,정보,정보,,정보교과, ,Y,N,경기도 시흥시 배곧4로 83,", 504호 (배곧동, 아이프라자)",15010,,20231018
J10,경기도교육청,안양시,학원,32167,배움컴퓨터학원,19951124,19951124,개원,        ,99991231,50,49,정보,정보,"정보교과,",정보교과, ,Y,N,경기도 안양시 만안구 안양로257번길 19,", 2층전체 (안양동)",430830,031-465-7400,20231018
J10,경기도교육청,양평군,교습소,3000054216,너나코 코딩교습소,20230130,20230130,개원,        ,99991231,4,4,정보,정보,,정보교과, ,Y,N,경기도 양평군 양평읍 흥청길 20,", 103호 (양평읍)",12558,,20231018
J10,경기도교육청,양평군,학원,3000053689,아이오로봇 코딩학원,20221216,20221216,개원,        ,99991231,60,60,정보,정보,"정보교과,",정보교과, ,Y,N,경기도 양평군 양서면 목왕로 8,", 2층 202호 (양서면)",12584,,20231018
J10,경기도교육청,오산시,학원,3000047495,알파코딩오산대역학원,20210708,20210707,개원,        ,99991231,40,24,정보,정보,"정보교과,",정보교과, ,Y,N,경기도 오산시 오산대역로 214,", 604호 (수청동, G플레이스 오산)",18114,,20231018
J10,경기도교육청,오산시,학원,3000048812,에이다컴퓨터코딩학원,20211117,20211117,개원,        ,99991231,156,24,정보,정보,"정보교과,",정보교과, ,Y,N,경기도 오산시 내삼미로 83,", 303호 (수청동, 센타프라자)",18114,,20231018
J10,경기도교육청,오산시,학원,3000047487,코딩스타학원,20210705,20210705,개원,        ,99991231,64,30,정보,정보,정보교과,정보교과, ,Y,N,경기도 오산시 문헌공로 3,", 504호 (금암동, 인피니트타워)",18108,null,20240128
J10,경기도교육청,오산시,학원,3000057824,코딩하루학원,20230720,20230720,개원,        ,        ,0,20,정보,,,, ,Y,N,경기도 오산시 운암로 113,205호(오산동),18134,,20231018
J10,경기도교육청,용인시,학원,3000055625,선생님은너무해블럭코딩학원,20230615,20230629,개원,        ,        ,0,20,정보,,"정보,",, ,Y,N,경기도 용인시 처인구 포곡읍 포곡로 80, ,17027,010-5157-2147,20231018
J10,경기도교육청,용인시,교습소,3000071691,아일코딩컴퓨터교습소,20240822,20240822,개원,        ,        ,0,7,정보,,,, ,Y, ,경기도 용인시 기흥구 구성로39번길 11,"구성우림아파트상가동 102호, 103호(마북동)",16917,,20240929
J10,경기도교육청,용인시,교습소,3000062538,코드온컴퓨터교습소,20231107,20231107,개원,        ,        ,0,0,정보,,,, ,Y, ,경기도 용인시 기흥구 서천로127번길 11-4,705호(서천동),17108,,20231112
J10,경기도교육청,용인시,학원,3000044550,코딩가학원,20200706,20200706,개원,        ,99991231,24,24,정보,,"정보,정보교과,",, ,Y,N,경기도 용인시 수지구 손곡로 115,", 3층 (동천동)",16822,,20231018
J10,경기도교육청,용인시,학원,3000055052,코딩나우코딩전문학원,20230424,20230424,개원,        ,99991231,80,10,정보,정보,정보교과,정보교과, ,Y,N,경기도 용인시 기흥구 동백5로 22,", 가동 243호 (중동, 동백문월드)",17006,010-9323-9642,20231018
J10,경기도교육청,용인시,학원,3000059595,코딩앤플레이용인동백점학원,20230621,20230728,개원,        ,        ,0,10,정보,,,, ,Y,N,경기도 용인시 기흥구 동백7로 73,(동백동) 502호 일부,17003,,20231126
J10,경기도교육청,용인시,학원,3000069135,포투원영재코딩학원,20240612,20240612,개원,        ,        ,0,20,정보,,,, ,Y, ,경기도 용인시 수지구 성복1로 35,"근린생활시설 208, 209호(성복동,성복역 롯데캐슬 클라시엘)",16856,,20240616
J10,경기도교육청,의정부시,학원,41889,유진컴퓨터프로그래밍,20100721,20100721,개원,        ,99991231,32,30,정보,정보,"정보교과,",정보교과, ,Y,N,경기도 의정부시 부용로 95, 현대프라자503호 (금오동),480865,070-4119-4366,20231018
J10,경기도교육청,파주시,교습소,3000072427,브레인코딩컴퓨터교습소,20241108,20241108,개원,        ,        ,0,9,정보,,,, ,Y, ,경기도 파주시 교하로 79,", 혜인프라자 705호(목동동)",10892,031-944-1446,20241117
J10,경기도교육청,파주시,교습소,3000047383,컴퓨터알려주는컴퓨터교습소,20210628,20210628,개원,        ,99991231,45,9,정보,정보,컴퓨터기초,정보교과,"컴퓨터기초:110000, 컴퓨터일반1:80000, 컴퓨터일반2:160000, 자격증과정1:110000, 자격증과정2:210000",Y,N,경기도 파주시 책향기로 419,", 웰스피아 507호 (동패동)",10874,,20231018
J10,경기도교육청,파주시,교습소,3000071979,헬로우잡스코딩교습소,20240911,20240911,개원,        ,        ,0,8,정보,,,, ,Y, ,경기도 파주시 청암로17번길 67,", 106호(목동동)",10892,,20240929
J10,경기도교육청,하남시,교습소,3000068797,로직트리로봇코딩교습소,20240508,20240508,개원,        ,        ,0,9,정보,,,, ,Y, ,경기도 하남시 감일백제로 169,504호(감이동),13003,010-9233-6809,20240512
J10,경기도교육청,하남시,교습소,3000054740,미사와이즈컴퓨터교습소,20230310,20230310,개원,        ,99991231,36,9,정보,정보,,정보교과, ,Y,N,경기도 하남시 미사강변대로34번안길 11,", 406호 (풍산동, 미사스타프라자)",12919,null,20240407
