번호,급,지역,기관명,홈페이지,우편번호,설립,구분,주소,전화,FAX,위도,경도
1342,초등학교,광양시,광양칠성초등학교,http://gychls.es.jne.kr,57740,공립,본교,"전라남도 광양시 광양읍 서평로 60 (광양읍,광양칠성초등학교)",061-762-8696,061-762-8636,34.97942448,127.5786738
1341,초등학교,광양시,광영초등학교,http://gyeong.es.jne.kr,57715,공립,본교,"전라남도 광양시 금영로 140 (광영동,광영초등학교)",061-792-6157,061-793-8905,34.96363297,127.7207758
1340,초등학교,광양시,다압초등학교,http://daap.es.jne.kr,57709,공립,본교,"전라남도 광양시 다압면 항동3길 10 (다압면,다압초등학교)",061-772-3087,061-772-6668,35.12126637,127.6914757
1339,초등학교,광양시,봉강초등학교,http://bgang.es.jne.kr,57701,공립,본교,"전라남도 광양시 봉강면 조양길 42 (봉강면,봉강초등학교)",061-763-1605,061-763-4185,35.01223063,127.5809469
1338,초등학교,광양시,성황초등학교,http://gysh.es.jne.kr,57767,공립,본교,"전라남도 광양시 지동길 15 (성황동,성황초등학교)",061-798-0220,061-791-4483,34.94027905,127.6829387
1337,초등학교,광양시,세풍초등학교,http://sepung.es.jne.kr,57765,공립,본교,"전라남도 광양시 광양읍 해광로 583 (광양읍,세풍초등학교)",061-762-1768,061-762-1769,34.94394721,127.582282
1336,초등학교,광양시,옥곡초등학교,http://okgok.es.jne.kr,57726,공립,본교,"전라남도 광양시 옥곡면 옥진로 623 (옥곡면,옥곡초등학교)",061-772-6681,061-772-2528,34.99090492,127.6960029
1335,초등학교,광양시,옥룡북초등학교,http://orbuk.es.jne.kr,57703,공립,본교,"전라남도 광양시 옥룡면 청평길 7 (옥룡면,옥룡북초등학교)",061-762-1949,061-762-6959,35.04164558,127.6164145
1334,초등학교,광양시,옥룡초등학교,http://gyok.es.jne.kr,57704,공립,본교,"전라남도 광양시 옥룡면 신재로 607 (옥룡면,옥룡초등학교)",061-762-8908,061-762-8907,35.01583815,127.6184734
1333,초등학교,광양시,진상초등학교,http://jinsang.es.jne.kr,57707,공립,본교,"전라남도 광양시 진상면 신시2길 44 (진상면,진상초등학교)",061-772-6608,061-772-5444,35.02009771,127.7165245
1332,초등학교,광양시,진월초등학교,http://kyjw.es.jne.kr,57712,공립,본교,"전라남도 광양시 진월면 선소중앙길 69 (진월면,진월초등학교)",061-772-2711,061-772-5547,34.97859769,127.7594725
1331,초등학교,광양시,태인초등학교,http://gy-taein.es.jne.kr,57813,공립,본교,"전라남도 광양시 태인길 95 (태인동,태인초등학교)",061-795-5073,061-792-5645,34.94596712,127.7439466
1330,초등학교,광양시,광양제철남초등학교,http://gwangcheolnam.es.jne.kr,57809,사립,본교,"전라남도 광양시 금호로 40 (금호동,제철남초등학교)",061-798-1403,061-798-1407,34.68041627,127.3575876
1329,초등학교,광양시,광양제철초등학교,http://gwangcheol.es.jne.kr,57802,사립,본교,"전라남도 광양시 마로니에길 48 (금호동,광양제철초등학교)",061-798-1304,061-798-1307,34.68041627,127.3575876
1327,초등학교,보성군,노동초등학교,http://nodong.es.jne.kr,59444,공립,본교,"전라남도 보성군 노동면 거석길 218 (노동면,강당)",061-852-0203,061-853-3256,34.82428215,127.0485424
1326,초등학교,보성군,득량남초등학교,http://deukryangnam.es.jne.kr,59466,공립,본교,"전라남도 보성군 득량면 월평1길 50 , 득량남초등학교",061-853-2050,061-852-7417,34.75199989,127.1864251
1325,초등학교,보성군,문덕초등학교,http://bsmundeok.es.jne.kr,59402,공립,본교,"전라남도 보성군 문덕면 동소산길 129-10 , 문덕초등학교 (문덕면,관사)",061-852-1061,061-853-7510,34.9197897,127.1753523
1324,초등학교,보성군,미력초등학교,http://miryeok.es.jne.kr,59443,공립,본교,"전라남도 보성군 미력면 송재로 589 , 미력초등학교",061-853-4614,061-853-4615,34.79989099,127.0858574
1323,초등학교,보성군,벌교중앙초등학교,http://beoljung.es.jne.kr,59430,공립,본교,"전라남도 보성군 벌교읍 장좌길 10 , 벌교중앙초등학교 (벌교읍,관사)",061-857-0440,061-858-0440,34.83769186,127.3423221
1322,초등학교,나주시,양산초등학교,http://najuyangsan.es.jne.kr,58304,공립,본교,"전라남도 나주시 왕곡면 고분로 1560 (왕곡면,양산초등학교)",061-337-2448,061-337-4990,34.97023218,126.7056724
1321,초등학교,나주시,영강초등학교,http://yeonggang.es.jne.kr,58253,공립,본교,"전라남도 나주시 영강길 14 (삼영동,영강초등학교)",061-337-0802,061-333-3404,35.0069745,126.712539
1320,초등학교,나주시,영산포초등학교,http://njysp.es.jne.kr,58272,공립,본교,전라남도 나주시 금영로 2-6 영산포초등학교,061-336-0513,061-332-8516,34.99410862,126.7150069
1319,초등학교,나주시,왕곡초등학교,http://njwanggok.es.jne.kr,58296,공립,본교,"전라남도 나주시 왕곡면 나주서부로 554 (왕곡면,왕곡초등학교)",061-336-6551,061-335-8636,34.96366649,126.6549869
1307,초등학교,고흥군,포두초등학교,http://podu.es.jne.kr,59524,공립,본교,전라남도 고흥군 포두면 우주로 624 포두초등학교,061-832-5419,061-832-5579,34.5694116,127.3407175
1306,초등학교,고흥군,풍남초등학교,http://pungnam.es.jne.kr,59550,공립,본교,"전라남도 고흥군 풍양면 풍남로 716 (풍양면,풍남초등학교)",061-832-3973,061-833-5019,34.52363234,127.2445026
1305,초등학교,고흥군,풍양초등학교,http://pungyang.es.jne.kr,59549,공립,본교,"전라남도 고흥군 풍양면 죽시장터길 13-6 (풍양면,창고)",061-832-4495,061-835-1454,34.57564766,127.2435955
1289,초등학교,곡성군,고달초등학교,http://godal.es.jne.kr,57546,공립,본교,전라남도 곡성군 고달면 곡고로 424 (고달면),061-363-6364,061-362-4229,35.29669074,127.3420802
1275,초등학교,구례군,간문초등학교,http://ganmun.es.jne.kr,57628,공립,본교,"전라남도 구례군 간전면 간전중앙로 164 , 간문초등학교 (간전면,간문초등학교)",061-781-4227,061-781-6866,35.17740527,127.5421031
1274,초등학교,구례군,광의초등학교,http://gwangui.es.jne.kr,57611,공립,본교,"전라남도 구례군 광의면 광의초교길 23 (광의면,광의초등학교)",061-781-3250,061-781-5895,35.25936947,127.4457871
1273,초등학교,구례군,구례북초등학교,http://guryebuk.es.jne.kr,57652,공립,본교,"전라남도 구례군 구례읍 학교길 119-7 (구례읍,구례북초등학교)",061-782-2144,061-782-1127,35.21010107,127.4596058
1272,초등학교,구례군,구례중앙초등학교,http://grjungang.es.jne.kr,57641,공립,본교,"전라남도 구례군 구례읍 봉성로 30 (구례읍,구례중앙초등학교)",061-782-4464,061-782-1629,35.2040744,127.4648781
1271,초등학교,구례군,문척초등학교,http://muncheok.es.jne.kr,57630,공립,본교,"전라남도 구례군 문척면 수달생태로 270 (문척면,문척초등학교)",061-781-5307,061-781-6906,35.19214654,127.4898971
1270,초등학교,구례군,용방초등학교,http://yongbang.es.jne.kr,57612,공립,본교,"전라남도 구례군 용방면 용방로 464 (용방면,용방초등학교)",061-782-1985,061-782-3663,35.25072657,127.4331258
1269,초등학교,구례군,원촌초등학교,http://gr-wonchon.es.jne.kr,57602,공립,본교,"전라남도 구례군 산동면 원촌길 123 (산동면,원촌초교)",061-781-1687,061-781-1904,35.3162475,127.4387752
1263,초등학교,담양군,고서초등학교,http://goseo.es.jne.kr,57385,공립,본교,전라남도 담양군 고서면 원등1길 7 (고서면),061-382-0230,061-383-8397,35.224635,126.973633
1262,초등학교,담양군,금성초등학교,http://ks.es.jne.kr,57305,공립,본교,전라남도 담양군 금성면 석현길 18 (금성면),061-383-9870,061-382-1901,35.34476246,127.0247911
1261,초등학교,담양군,남면초등학교,http://dy-nammyeon.es.jne.kr,57392,공립,본교,"전라남도 담양군 남면 연천길 3 , 남면초등학교",061-382-1024,061-383-8021,35.17821169,127.0264223
1260,초등학교,담양군,담양남초등학교,http://damyangnam.es.jne.kr,57345,공립,본교,전라남도 담양군 담양읍 지침5길 14 (담양읍),061-383-3553,061-383-9845,35.31815688,126.9865616
1259,초등학교,담양군,담양동초등학교,http://damdong.es.jne.kr,57340,공립,본교,전라남도 담양군 담양읍 추성로 1323 (담양읍),061-383-7012,061-383-7013,35.32030529,126.9835348
1258,초등학교,담양군,담주초등학교,http://damju.es.jne.kr,57364,공립,본교,"전라남도 담양군 담양읍 신성길 26 , 담주초등학교 (담양읍)",061-382-2978,061-383-2016,35.30066212,126.9761899
1257,초등학교,담양군,만덕초등학교,http://manduk.es.jne.kr,57380,공립,본교,전라남도 담양군 대덕면 창평현로 905 (대덕면),061-382-1414,061-383-9173,35.24933318,127.0356311
1256,초등학교,담양군,무정초등학교,http://mujeong.es.jne.kr,57359,공립,본교,"전라남도 담양군 무정면 수문동길 26-11 (무정면,무정병설유치원)",061-382-2024,061-383-1605,35.29084756,127.0403368
1255,초등학교,담양군,봉산초등학교,http://bongsan6.es.jne.kr,57367,공립,본교,전라남도 담양군 봉산면 신학길 34-11 (봉산면),061-382-6080,061-382-4860,35.27716072,126.9570891
1254,초등학교,담양군,수북초등학교,http://subuk.es.jne.kr,57318,공립,본교,전라남도 담양군 수북면 추성1로 714 (수북면),061-382-7014,061-383-1964,35.30119952,126.9301525
1253,초등학교,곡성군,곡성중앙초등학교,http://gsjungang.es.jne.kr,57533,공립,본교,전라남도 곡성군 곡성읍 학교로 103 (곡성읍),061-363-1815,061-362-0772,35.28496872,127.2915489
1252,초등학교,곡성군,삼기초등학교,http://gs-samgi.es.jne.kr,57521,공립,본교,"전라남도 곡성군 삼기면 곡순로 1462 , 삼기초등학교 (삼기면)",061-362-2078,061-362-2018,35.23677671,127.2092096
1251,초등학교,곡성군,석곡초등학교,http://seokgok.es.jne.kr,57560,공립,본교,전라남도 곡성군 석곡면 석곡로 91 (석곡면),061-360-6500,061-362-3600,35.13538333,127.2536339
1250,초등학교,곡성군,오산초등학교,http://Osan7.es.jne.kr,57518,공립,본교,전라남도 곡성군 오산면 오산로 616 (오산면),061-363-1019,061-362-4042,35.23901695,127.1210521
1249,초등학교,곡성군,옥과초등학교,http://okgwa.es.jne.kr,57502,공립,본교,"전라남도 곡성군 옥과면 대학로 213 , 옥과초등학교",061-362-5983,061-362-6080,35.27757715,127.1435059
1248,초등학교,곡성군,입면초등학교,http://ipmyeon.es.jne.kr,57509,공립,본교,"전라남도 곡성군 입면 송전로 27 , 입면초등학교",061-363-1751,061-362-6071,35.30660481,127.1852564
1247,초등학교,곡성군,죽곡초등학교,http://jukgok.es.jne.kr,57549,공립,본교,"전라남도 곡성군 죽곡면 오죽로 43 , 죽곡초등학교",061-362-4523,061-362-4512,35.1527471,127.3178503
1243,초등학교,광양시,골약초등학교,http://golyak.es.jne.kr,57769,공립,본교,"전라남도 광양시 하포길 70-7 (황길동,골약초등학교)",061-794-6784,061-794-6781,34.91051106,127.660961
1242,초등학교,광양시,광양가야초등학교,http://gygaya.es.jne.kr,57719,공립,본교,"전라남도 광양시 가야로 369 (광영동,가야초등학교)",061-793-2319,061-792-6103,34.96704796,127.7127292
1241,초등학교,광양시,광양덕례초등학교,http://gyduk.es.jne.kr,57761,공립,본교,"전라남도 광양시 광양읍 서산길 77 (광양읍,덕례초등학교)",061-763-8027,061-763-8029,34.96877385,127.5702944
1240,초등학교,광양시,광양동초등학교,http://gydong.es.jne.kr,57752,공립,본교,전라남도 광양시 광양읍 읍성길 61 광양동초등학교,061-761-0053,061-762-6337,34.97116524,127.5867452
1239,초등학교,광양시,광양마동초등학교,http://gymadong.es.jne.kr,57773,공립,본교,"전라남도 광양시 진등6길 14 (마동,광양마동초등학교)",061-791-1863,061-791-1865,34.95549527,127.6891258
1238,초등학교,광양시,광양마로초등학교,http://gynam.es.jne.kr,57747,공립,본교,"전라남도 광양시 광양읍 제철로 59 (광양읍, 광양마로초등학교)",061-760-1800,061-762-1770,34.96025618,127.6063315
1237,초등학교,광양시,광양백운초등학교,http://baegun.es.jne.kr,57789,공립,본교,"전라남도 광양시 광장로 21 (중동,백운초등학교)",061-795-2100,061-795-2105,34.93736935,127.6918726
1236,초등학교,광양시,광양북초등학교,http://gybuk.es.jne.kr,57745,공립,본교,"전라남도 광양시 광양읍 유당로 60-1 (광양읍,광양북초등학교)",061-762-6635,061-762-6625,34.97691745,127.5938606
1235,초등학교,광양시,광양서초등학교,http://gyseo.es.jne.kr,57753,공립,본교,"전라남도 광양시 광양읍 숲샘길 29 (광양읍,광양서초등학교)",061-762-3072,061-762-3564,34.97200404,127.5832689
1234,초등학교,광양시,광양용강초등학교,http://yongkang.es.jne.kr,57746,공립,본교,"전라남도 광양시 광양읍 용강1길 40 (광양읍,광양용강초등학교)",061-760-6203,061-762-8650,34.97577144,127.6104757
1233,초등학교,구례군,중동초등학교,http://gr-jungdong.es.jne.kr,57604,공립,본교,"전라남도 구례군 산동면 관산구산길 49 (산동면,중동초등학교)",061-783-0180,061-783-3879,35.31854382,127.4658315
1232,초등학교,구례군,청천초등학교,http://chengchen.es.jne.kr,57617,공립,본교,"전라남도 구례군 마산면 화엄사로 136 (마산면,청천초등학교)",061-782-4014,061-782-4180,35.22136656,127.4875815
1231,초등학교,구례군,토지초등학교,http://toji.es.jne.kr,57624,공립,본교,"전라남도 구례군 토지면 섬진강대로 5028 , 토지초등학교 (토지면,주택)",061-781-5949,061-781-2888,35.19641207,127.5275682
1230,초등학교,구례군,토지초등학교연곡분교장,http://toji.es.jne.kr,57622,공립,분교,"전라남도 구례군 토지면 남산길 18 (토지면,토지초등학교연곡분교장)",061-782-6124,061-782-6332,35.24737844,127.590539
1224,초등학교,나주시,공산초등학교,http://nj-gongsan.es.jne.kr,58290,공립,본교,"전라남도 나주시 공산면 공산로 85 (공산면,공산초등학교)",061-335-3883,061-335-8513,34.94158386,126.6135047
1223,초등학교,나주시,금천초등학교,http://njgeumchun.es.jne.kr,58215,공립,본교,"전라남도 나주시 금천면 금영로 960 (금천면,금천초등학교)",061-331-7637,061-331-6049,35.03431013,126.7546349
1222,초등학교,나주시,나주북초등학교,http://najubuk.es.jne.kr,58243,공립,본교,"전라남도 나주시 청암길 47-23 (청동,나주북초등학교)",061-333-5936,061-332-9177,35.04811957,126.7277706
1221,초등학교,나주시,나주중앙초등학교,http://njjungang.es.jne.kr,58251,공립,본교,"전라남도 나주시 대호길 24 (성북동,나주중앙초등학교)",061-333-2181,061-333-3676,35.03907804,126.718748
1220,초등학교,나주시,나주초등학교,http://naju.es.jne.kr,58260,공립,본교,"전라남도 나주시 남외1길 16 , 나주초등학교",061-333-6352,061-333-7660,35.02776078,126.7189183
1219,초등학교,나주시,남평초등학교,http://nampyeong.es.jne.kr,58227,공립,본교,"전라남도 나주시 남평읍 지석로 95 (남평읍,남평초등학교)",061-331-2134,061-331-8617,35.04294669,126.8450951
1218,초등학교,나주시,노안남초등학교,http://noannam.es.jne.kr,58208,공립,본교,"전라남도 나주시 노안면 만호길 20-11 (노안면,노안남초등학교)",061-335-6840,061-335-5830,35.06766837,126.7512067
1217,초등학교,나주시,노안초등학교,http://najunoan.es.jne.kr,58205,공립,본교,"전라남도 나주시 노안면 노안로 165 (노안면,노안초등학교)",061-335-9003,061-335-6487,35.08058696,126.7183118
1216,초등학교,나주시,다도초등학교,http://najudado.es.jne.kr,58319,공립,본교,"전라남도 나주시 다도면 다도로 636 (다도면,다도초등학교)",061-337-1184,061-337-3062,34.95792122,126.8265111
1215,초등학교,나주시,다시초등학교,http://najudasi.es.jne.kr,58203,공립,본교,"전라남도 나주시 다시면 다시로 203 (다시면,다시초등학교)",061-335-4214,061-335-7703,35.01775979,126.639999
1214,초등학교,나주시,동강초등학교,http://donggang.es.jne.kr,58292,공립,본교,"전라남도 나주시 동강면 동강로 595 (동강면,동강초등학교)",061-335-2052,061-335-7262,34.93845086,126.5645381
1213,초등학교,담양군,용면초등학교,http://yongmyeon.es.jne.kr,57302,공립,본교,전라남도 담양군 용면 추성2길 70 (용면),061-382-2514,061-383-9249,35.36351227,126.9900443
1212,초등학교,담양군,월산초등학교,http://wolsan.es.jne.kr,57312,공립,본교,전라남도 담양군 월산면 도개길 180 (월산면),061-382-4115,061-382-4114,35.34069529,126.9505435
1211,초등학교,담양군,창평초등학교,http://changpyeong.es.jne.kr,57389,공립,본교,"전라남도 담양군 창평면 의병로 , 173 (창평면)",061-382-8014,061-381-0470,35.24075254,127.0187431
1210,초등학교,담양군,한재초등학교,http://hanjae.es.jne.kr,57328,공립,본교,전라남도 담양군 대전면 추성1로 217 (대전면),061-383-1858,061-382-0483,35.27853094,126.8892565
1209,초등학교,고흥군,금산초등학교,http://gh-geumsan.es.jne.kr,59564,공립,본교,"전라남도 고흥군 금산면 상하촌길 17-8 (금산면,관사)",061-842-0025,061-843-9120,34.46167697,127.1288827
1208,초등학교,고흥군,남양초등학교,http://gh-namyang.es.jne.kr,59509,공립,본교,"전라남도 고흥군 남양면 상와길 40 (남양면,관사)",061-833-9173,061-833-9176,34.72892137,127.35463
1207,초등학교,고흥군,남양초등학교우도분교장,http://gh-namyang.es.jne.kr,59509,공립,분교,"전라남도 고흥군 남양면 우도길 18 (남양면,관사)",061-833-1494,061-834-1494,34.72249125,127.3143606
1206,초등학교,고흥군,녹동초등학교,http://nokdong.es.jne.kr,59555,공립,본교,"전라남도 고흥군 도양읍 천마로 83 , 녹동초등학교",061-844-9042,061-844-3800,34.52957715,127.1398098
1205,초등학교,고흥군,녹동초등학교소록도분교장,http://nokdong.es.jne.kr,59562,공립,분교,"전라남도 고흥군 도양읍 소록선창길 89-66 (도양읍,녹동초등학교소록분교 교실)",061-844-9042,061-844-3800,34.5163923,127.1318768
1204,초등학교,고흥군,녹동초등학교시산분교장,http://nokdong.es.jne.kr,59563,공립,분교,"전라남도 고흥군 도양읍 시산석금길 30 (도양읍,교실)",061-844-9042,061-844-3800,34.39513849,127.25837
