AGE,등록(계/피),고용상태,성별,Willingness to pay/Stay,갱신,상품타입,교육수준,소득,지역,결혼여부,월 납입액,VOC,타 상품 보유 현황,온라인방문빈도,갱신인센티브,판매채널,총지불금액,자동차,거주지사이즈,cluster
3,계약자,휴직,1,5.232762,0,기본,대학졸업,16064400,도시근교,미혼,70,1,4이상,비방문,할인,자사영업,541000,일반세단,대,6
1,피보험자,고용,0,20.640339,0,기본,대학졸업,97854900,시골,기혼,130,0,2,자주방문,없음,콜센터,66000,SUV,중,3
4,피보험자,고용,1,7.633803,0,중급,고졸이하,69671800,도시근교,기혼,100,1,4이상,자주방문,포인트,자사영업,534000,일반세단,중,7
4,계약자,고용,1,7.32156,0,중급,고졸이하,62724200,도시근교,기혼,90,1,4이상,비방문,설계사독려,대리점,516000,일반세단,중,7
3,계약자,휴직,0,2.541012,1,기본,대학졸업,26258100,도시근교,미혼,60,0,1,비방문,할인,인터넷,435000,일반세단,중,2
4,계약자,휴직,0,16.268937,1,기본,고졸이하,37690400,도시근교,기혼,110,1,2,비방문,설계사독려,콜센터,593000,SUV,중,2
3,계약자,고용,1,3.154731,0,기본,고졸이하,34688500,도심,기혼,80,0,1,비방문,설계사독려,자사영업,429000,일반세단,중,1
4,계약자,고용,0,14.007867,0,기본,대학졸업,72791400,도심,미혼,120,1,2,비방문,할인,대리점,436000,SUV,중,7
5,계약자,고용,1,8.50593,0,기본,대학졸업,82340500,도시근교,기혼,110,0,3,비방문,설계사독려,인터넷,593000,스포츠카,중,7
4,계약자,고용,0,14.438547,0,고급,대학졸업,33110000,도시근교,기혼,190,0,4이상,비방문,할인,대리점,990000,SUV,중,5
3,계약자,휴직,0,6.578637,0,중급,대학졸업,22014300,도시근교,기혼,80,0,4이상,비방문,할인,자사영업,468000,일반세단,중,2
4,계약자,휴직,1,13.264944,0,기본,고졸이하,35541000,도시근교,미혼,120,0,2,종종,할인,인터넷,670000,SUV,소,2
3,계약자,고용,0,20.823378,0,기본,대학졸업,30118000,도심,기혼,70,0,2,비방문,설계사독려,대리점,278000,일반세단,중,7
4,계약자,고용,1,5.846481,0,기본,고졸이하,65227800,도심,기혼,70,0,4이상,비방문,설계사독려,대리점,310000,컴팩트카,중,7
3,계약자,무직,1,7.892211,0,기본,대학졸업,0,도시근교,미혼,70,0,2,비방문,할인,대리점,769000,일반세단,중,2
3,계약자,고용,1,3.746916,0,중급,대학졸업,45349700,시골,미혼,100,2,1,비방문,할인,콜센터,230000,일반세단,중,1
3,피보험자,무직,0,7.493832,0,중급,대학졸업,0,도시근교,기혼,100,1,4이상,자주방문,할인,인터넷,778000,일반세단,중,2
4,계약자,고용,1,27.186675,0,기본,석사,58289000,도시근교,미혼,70,1,2,비방문,할인,자사영업,427000,일반세단,소,4
4,계약자,고용,1,2.713284,0,기본,대학졸업,57109800,도심,기혼,70,3,1,비방문,없음,자사영업,304000,일반세단,중,1
3,계약자,무직,0,18.680745,0,중급,대학졸업,0,도시근교,기혼,100,0,2,비방문,할인,콜센터,545000,일반세단,중,2
3,계약자,무직,1,4.371402,0,기본,대학졸업,0,도시근교,미혼,130,0,1,비방문,포인트,인터넷,1040000,스포츠카,중,2
1,계약자,고용,0,5.103558,0,기본,대학졸업,103893900,시골,기혼,130,0,1,비방문,할인,자사영업,165000,SUV,중,3
4,계약자,고용,1,4.694412,0,기본,대학졸업,51453600,시골,미혼,120,0,1,비방문,포인트,대리점,298000,스포츠카,중,1
3,계약자,무직,1,9.744135,1,기본,고졸이하,0,도시근교,기혼,130,0,3,비방문,설계사독려,인터넷,705000,스포츠카,중,2
3,피보험자,고용,1,4.532907,0,기본,석사,28928900,시골,미혼,120,0,1,자주방문,포인트,대리점,65000,SUV,대,4
3,계약자,고용,0,5.641908,0,기본,대학졸업,63905600,도심,미혼,70,0,4이상,비방문,설계사독려,인터넷,262000,일반세단,대,6
2,계약자,고용,0,2.670216,0,기본,고졸이하,103096400,도시근교,미혼,60,0,1,비방문,설계사독려,대리점,368000,일반세단,중,3
3,계약자,고용,1,3.865353,0,중급,석사,34035100,시골,기혼,100,0,1,비방문,포인트,콜센터,146000,일반세단,중,4
3,계약자,휴직,1,5.92185,1,기본,대학졸업,29768200,도시근교,기혼,70,0,3,비방문,할인,자사영업,433000,일반세단,중,2
3,계약자,무직,1,11.176146,0,중급,고졸이하,0,도시근교,기혼,100,0,2,비방문,설계사독려,인터넷,716000,컴팩트카,중,2
